block_group_id,nWorkers
120710107023,1
120860078041,1
120990064023,1
120990078372,1
170317005016,1
170978641051,1
180571111022,1
211110103161,1
230050130003,1
230310052002,1
230310280011,1
230310320001,1
230310340013,1
230310340021,1
230310350001,1
230310360024,1
240217522044,1
240276026003,1
240276068033,1
250010115002,1
250010138001,1
250056002041,2
250056102041,1
250056111011,1
250056112022,2
250056121002,1
250056141011,1
250056171022,1
250056301011,1
250056313001,2
250056313003,2
250056315001,1
250056318001,1
250056318002,1
250056321002,1
250056408002,1
250056418001,1
250056421001,1
250056501011,1
250056531012,1
250056531013,1
250092033012,1
250092033021,1
250092041012,1
250092042003,1
250092043001,1
250092044002,1
250092046004,1
250092047022,1
250092047023,1
250092051002,1
250092052003,1
250092054001,1
250092059003,1
250092062002,1
250092063001,1
250092063002,1
250092065002,1
250092067003,1
250092071001,1
250092082003,1
250092084001,1
250092084002,1
250092084003,1
250092091001,1
250092091005,1
250092092002,1
250092104001,1
250092104003,1
250092104004,1
250092113003,2
250092114011,1
250092114023,2
250092121002,1
250092121004,1
250092131005,1
250092174003,1
250092175003,1
250092176003,2
250092506004,1
250092515003,1
250092521023,2
250092522011,1
250092525023,1
250092526021,1
250092531001,1
250092531003,1
250092532011,1
250092532022,1
250092532042,1
250092544011,1
250092601003,2
250092604022,2
250092606002,1
250092610001,1
250092610002,1
250092611022,2
250092641003,1
250092651011,1
250092651014,1
250092671011,1
250092671013,1
250092683001,1
250092691004,1
250092701002,1
250138016042,1
250173103003,1
250173114003,1
250173115002,1
250173116002,1
250173119002,1
250173123003,1
250173141022,1
250173142001,2
250173142003,1
250173151002,1
250173152004,2
250173155002,2
250173155005,1
250173161011,1
250173161012,1
250173162021,3
250173163004,1
250173163005,1
250173164002,1
250173171021,1
250173171032,1
250173173022,1
250173181001,1
250173183002,1
250173184001,1
250173184002,1
250173201023,1
250173211001,1
250173212001,1
250173213002,1
250173216001,1
250173216003,1
250173241011,1
250173241012,1
250173251007,1
250173301002,2
250173301005,1
250173302002,1
250173302003,1
250173302004,2
250173311012,2
250173311023,1
250173312002,1
250173313001,1
250173322001,3
250173322004,1
250173323002,2
250173323003,1
250173323004,1
250173331004,1
250173334001,1
250173335012,1
250173335022,2
250173336005,2
250173336006,1
250173341002,2
250173341003,1
250173342003,1
250173343003,1
250173343004,1
250173344005,1
250173352005,2
250173353021,1
250173353022,1
250173354001,1
250173354003,1
250173361002,1
250173362006,1
250173363002,3
250173363003,1
250173364012,2
250173364013,1
250173371012,1
250173371022,2
250173371023,1
250173372012,1
250173372021,1
250173372022,1
250173373003,2
250173373004,2
250173382001,2
250173382002,1
250173391001,1
250173391004,1
250173392004,2
250173392005,1
250173393001,1
250173393003,2
250173396003,2
250173396006,1
250173397002,3
250173397004,1
250173398011,1
250173398012,1
250173398022,1
250173399001,1
250173399004,2
250173400002,1
250173401002,3
250173401004,1
250173411013,1
250173412001,2
250173412003,3
250173412005,2
250173413001,1
250173414002,1
250173414004,1
250173415001,1
250173415002,1
250173415005,1
250173416004,1
250173417001,1
250173417002,1
250173418001,1
250173418003,1
250173418006,1
250173419011,1
250173419012,1
250173419022,1
250173419026,3
250173421024,1
250173423003,3
250173424002,1
250173425001,1
250173425002,1
250173425003,1
250173426003,2
250173501031,2
250173501032,1
250173501041,5
250173501042,2
250173501043,2
250173501044,2
250173502001,2
250173502004,1
250173502005,1
250173502006,3
250173504001,1
250173504002,1
250173504003,1
250173505001,1
250173505002,1
250173507001,1
250173507002,1
250173507006,1
250173508001,1
250173509001,2
250173509003,1
250173510001,3
250173510003,1
250173510004,3
250173510005,1
250173511001,1
250173511003,1
250173511004,1
250173511005,1
250173512031,1
250173512033,2
250173512034,1
250173512041,1
250173512042,4
250173512043,1
250173513001,2
250173513002,1
250173513003,1
250173514032,1
250173514034,1
250173514042,3
250173514044,2
250173515001,1
250173515002,3
250173521011,4
250173521012,7
250173521021,16
250173521022,7
250173522001,7
250173523001,9
250173523002,13
250173524001,5
250173524002,15
250173525001,7
250173525002,6
250173526001,4
250173526002,2
250173527001,3
250173527002,2
250173527003,2
250173528002,5
250173529002,1
250173530003,4
250173530004,2
250173531011,3
250173531012,6
250173531021,10
250173531022,20
250173531023,1
250173532001,15
250173532002,4
250173533002,1
250173533003,2
250173534001,2
250173535001,1
250173535002,2
250173537001,2
250173538002,2
250173538003,1
250173538004,2
250173539001,1
250173539002,1
250173541003,1
250173542001,1
250173542002,1
250173542003,2
250173543001,2
250173543002,1
250173544001,2
250173544002,1
250173545003,1
250173546004,1
250173547001,2
250173547002,1
250173549001,1
250173549002,2
250173549003,5
250173550003,2
250173561001,1
250173564001,1
250173564005,1
250173564006,1
250173564007,3
250173565005,1
250173565006,1
250173566011,2
250173566012,1
250173566024,1
250173567011,1
250173567015,1
250173567021,1
250173571002,2
250173572001,1
250173573002,2
250173574002,1
250173576002,1
250173578003,1
250173581001,1
250173581002,4
250173581003,1
250173581004,1
250173583001,1
250173583002,2
250173584002,1
250173585002,1
250173587002,1
250173587003,2
250173591001,1
250173591004,1
250173602004,1
250173612003,2
250173613001,1
250173631023,2
250173631031,1
250173641013,1
250173641021,1
250173641024,1
250173651002,1
250173661004,1
250173661005,1
250173671001,1
250173681012,1
250173683003,1
250173684002,1
250173685001,1
250173686003,1
250173687002,1
250173688001,1
250173688004,1
250173689011,1
250173689013,1
250173689014,1
250173691001,1
250173691004,1
250173691005,1
250173701011,1
250173701022,1
250173702011,1
250173702012,1
250173703002,1
250173704003,2
250173732004,1
250173735003,1
250173737003,2
250173737004,1
250173738001,1
250173739001,2
250173739003,1
250173740001,2
250173741001,1
250173741003,1
250173742001,1
250173743001,1
250173746001,1
250173746002,1
250173821001,1
250173823002,1
250173825003,1
250173826024,1
250173832001,1
250173834002,1
250173835021,1
250173836003,1
250173839014,2
250173840021,1
250173840023,1
250173851001,1
250173851002,1
250173852011,1
250173852022,1
250173852023,1
250173881001,2
250214001001,1
250214001002,1
250214001004,1
250214002002,1
250214003003,1
250214004001,1
250214005001,1
250214005002,1
250214005003,1
250214007003,1
250214008002,1
250214009003,2
250214010002,1
250214010003,1
250214012004,2
250214024003,1
250214031006,1
250214043022,1
250214061023,1
250214061024,1
250214071002,1
250214101001,1
250214104003,1
250214113023,1
250214121003,1
250214122002,1
250214123004,1
250214131004,1
250214134022,1
250214142003,1
250214143002,2
250214151021,1
250214151022,1
250214153001,1
250214162007,1
250214163003,1
250214171005,1
250214172001,3
250214172002,1
250214172005,2
250214173002,1
250214175013,1
250214175023,1
250214176012,1
250214178022,1
250214179011,1
250214179014,1
250214179021,1
250214180031,4
250214180042,1
250214180043,1
250214191001,1
250214191004,1
250214193002,1
250214194001,1
250214195002,1
250214196002,1
250214197001,1
250214198002,2
250214201002,1
250214201003,1
250214201004,4
250214202022,1
250214203014,1
250214211001,1
250214211003,1
250214212002,1
250214221001,1
250214221004,1
250214222001,1
250214222002,1
250214222004,1
250214222006,1
250214223023,2
250214223024,1
250214224003,1
250214224005,3
250214225022,1
250214225024,1
250214226003,1
250214401003,1
250214412021,1
250214412031,1
250214421012,1
250214431021,1
250214431022,1
250214431023,1
250214562002,1
250214563011,1
250214563024,1
250214572002,1
250214572003,1
250235011023,2
250235031025,1
250235041013,1
250235051013,1
250235051023,1
250235062041,1
250235071011,1
250235071031,1
250235081013,1
250235081022,1
250235082003,1
250235091011,1
250235101003,1
250235104004,1
250235105011,1
250235105012,1
250235105033,1
250235111003,1
250235112002,1
250235116006,1
250235201001,1
250235201003,1
250235202013,1
250235202022,1
250235202023,1
250235211021,1
250235221011,1
250235221021,1
250235221022,1
250235231001,1
250235232013,1
250235232022,1
250235261001,1
250235261004,1
250235306003,1
250235308012,1
250235454004,1
250250001001,2
250250001002,2
250250001003,1
250250002022,1
250250003012,2
250250003014,1
250250003021,2
250250004011,3
250250004023,2
250250005021,1
250250005023,2
250250005032,1
250250005042,2
250250006011,1
250250006014,1
250250006021,1
250250007014,1
250250007015,1
250250008024,2
250250008025,1
250250101043,1
250250102031,1
250250102042,2
250250104031,1
250250104032,1
250250104041,1
250250104042,1
250250104081,2
250250105003,1
250250106002,1
250250108012,1
250250108021,1
250250108022,1
250250201014,1
250250202002,2
250250202003,3
250250203011,1
250250203021,1
250250203032,1
250250301002,2
250250303001,1
250250303003,1
250250303004,1
250250401002,2
250250403003,1
250250403005,1
250250406001,4
250250408011,1
250250501011,3
250250501012,1
250250502001,1
250250502002,1
250250502003,1
250250503001,2
250250504002,1
250250506002,1
250250507003,1
250250510001,1
250250512001,1
250250512002,2
250250512003,1
250250601013,2
250250604001,1
250250605011,1
250250605012,1
250250605013,1
250250606001,3
250250608004,1
250250611012,1
250250612002,1
250250701018,1
250250702001,1
250250705003,1
250250709002,1
250250712011,1
250250801001,1
250250804012,1
250250808011,1
250250809002,1
250250810011,1
250250810013,1
250250811002,1
250250811003,1
250250813002,2
250250817003,1
250250817005,1
250250818003,1
250250819003,1
250250820001,1
250250820003,1
250250821002,1
250250902003,1
250250904002,1
250250906001,1
250250907001,1
250250909012,1
250250910014,2
250250911003,1
250250914002,1
250250916001,1
250250917001,1
250250918001,1
250250919002,1
250250921015,1
250250922002,1
250250922004,1
250251001002,1
250251001004,1
250251001007,1
250251002002,1
250251002003,1
250251003003,2
250251003004,1
250251006013,1
250251006031,1
250251007004,1
250251008006,2
250251010011,1
250251010012,1
250251010022,1
250251011022,1
250251101032,1
250251103012,1
250251104012,1
250251105021,1
250251201042,1
250251202012,1
250251203013,2
250251203014,1
250251204003,1
250251206002,1
250251301002,1
250251302002,1
250251303004,1
250251304023,2
250251304025,1
250251304062,1
250251401051,1
250251401071,2
250251402022,1
250251403006,1
250251404005,1
250251404007,1
250251601012,1
250251601014,2
250251603001,1
250251605021,1
250251605022,1
250251606012,2
250251701001,1
250251701002,1
250251701006,2
250251701007,1
250251702002,1
250251702004,1
250251703001,1
250251703002,2
250251703004,1
250251703005,1
250251704001,1
250251704004,1
250251705011,1
250251706011,1
250251706012,2
250251707022,1
250251708001,1
250251708002,1
250251708003,1
250251801011,1
250251801013,2
250251802002,1
250251803011,1
250251805001,1
250259807001,1
250259813002,2
250277031003,1
250277051004,1
250277094001,1
250277103001,1
250277105001,1
250277110003,1
250277151002,1
250277262001,1
250277281001,1
250277292003,1
250277308022,1
250277309023,1
250277322011,1
250277322012,1
250277324005,1
250277351004,1
250277365002,1
250277382012,1
250277392002,1
250277401011,1
250277411012,1
250277411022,1
250277424011,1
250277431002,1
250277431003,1
250277441015,1
250277441022,1
250277444001,1
250277471011,1
250277471013,1
250277491003,1
250277541004,1
250277611004,1
271230407051,1
271410304021,1
330019661004,1
330039563004,1
330099616024,1
330110003002,1
330110006001,1
330110009022,1
330110011005,1
330110016002,1
330110026004,1
330110027023,1
330110029013,1
330110123002,1
330110123004,1
330110143001,1
330110171004,1
330110190001,1
330110225002,1
330112003001,1
330130300001,1
330150036021,1
330150038021,1
330150039012,1
330150040003,1
330150650012,1
330150650083,1
330150660002,1
330150675012,1
330151002002,1
330151003011,1
330151003023,1
330151021001,1
330151041012,1
330170816002,1
330170850001,1
330170850005,1
340350539052,1
360010146071,1
360550131031,1
360595184003,1
360610156012,1
440030206011,1
440070010002,1
440070018001,1
440070103003,1
440070106005,1
440070128013,1
440070133001,1
440070173001,1
440090508011,1
440090512012,1
470930057081,1
481130142061,1
481677216001,1
482015107002,1
482015218001,1
490351019002,1
500110109001,1
510594612013,1
518000754031,1
550790902001,1
60591102013,1
60730208111,1
61110054031,1
80350141322,1
90117001002,1
90138815001,1
